58,LoStracco,Tiana,JR-3,Arkansas,4:16.35,Tom Jones Memorial Invitational,Apr 12,2024
59,Ullom,Madaline,JR-3,Penn State,4:16.39,Bison Outdoor Classic,Apr 12,2024
60,Hastie,Samantha,JR-3,Michigan,4:16.40,Wake Forest Invitational,Apr 19,2024
61,Mpigachai,Regina,JR-3,Northern Colorado,4:16.46,Tom Jones Memorial Invitational,Apr 12,2024
62,Freeland,Lauren,SR-4,Michigan State,4:16.47,2024 Bryan Clay Invitational,Apr 11,2024
63,Reidy,Erin,JR-3,Minnesota,4:16.51,Gary Wilson Invitational,Apr 24,2024
64,Gapes,Hannah,SO-2,NC State,4:16.57,Wake Forest Invitational,Apr 19,2024
65,Cherubet,Juliet,FR-1,Texas Tech,4:16.72,2024 Bryan Clay Invitational,Apr 11,2024
65,Laverty,Cara,FR-1,Providence,4:16.72,Penn Relays,Apr 25,2024
65,Nielsen,Wilma,JR-3,Washington,4:16.72,Stanford Invitational,Mar 29,2024
68,Sargent,Sadie,SR-4,BYU,4:16.73,2024 Bryan Clay Invitational,Apr 11,2024
69,Mareno,Nevada,SR-4,NC State,4:16.76,Wake Forest Invitational,Apr 19,2024
70,Elbadra,Salma,FR-1,Wyoming,4:16.87,2024 Bryan Clay Invitational,Apr 11,2024
71,Beermann,Jette,JR-3,Elon,4:16.92,Wake Forest Invitational,Apr 19,2024
72,Chisholm,Siona,SO-2,Notre Dame,4:16.94,Wake Forest Invitational,Apr 19,2024
73,Haquet,Augustine,JR-3,Cornell,4:17.13,Virginia Challenge,Apr 19,2024
74,Timm,Caroline,JR-3,Virginia,4:17.16,Virginia Challenge,Apr 19,2024
75,Patterson,Bronwyn,JR-3,Penn,4:17.24,Paul Donahue Invitational at Widener University,Apr 19,2024
76,Schutz,Berlyn,FR-1,Nebraska,4:17.31,2024 Bryan Clay Invitational,Apr 11,2024
76,Lovell,Taylor,SO-2,BYU,4:17.31,Payton Jordan Invitational,Apr 26,2024
78,Whittaker,Juliette,SO-2,Stanford,4:17.35,Stanford Invitational,Mar 29,2024
79,Gonzalez,Chloe,JR-3,Georgetown,4:17.50,Wake Forest Invitational,Apr 19,2024
80,Liebich,Margaret,SR-4,Princeton,4:17.52,Larry Ellis Invitational,Apr 12,2024
81,Augenstein,Charlotte,SR-4,Georgia,4:17.57,Outdoor Music City Challenge,Apr 26,2024
82,Jemutai,Emmaculate,FR-1,Kansas,4:17.87,LSU Battle on the Bayou,Mar 29,2024
83,Thomas,Chloe,JR-3,Connecticut,4:17.93,Jesse Owens Track & Field Classic,Apr 19,2024
84,Marchant,Paige,FR-1,Eastern Michigan,4:17.98,Wake Forest Invitational,Apr 19,2024
84,Hodge,Ellie,SR-4,Baylor,4:17.98,LSU Battle on the Bayou,Mar 29,2024
86,Marvin,Megan,JR-3,Furman,4:18.13,Wake Forest Invitational,Apr 19,2024
87,Dess,Klara,SR-4,New Mexico,4:18.25,2024 Bryan Clay Invitational,Apr 11,2024
88,Whaley,Elizabeth,SO-2,Wake Forest,4:18.35,2024 Charlotte Invitational,Apr 26,2024
89,Farmer,Jacey,SO-2,BYU,4:18.37,Stanford Invitational,Mar 29,2024
90,Eudaly,Mary Ellen,SO-2,Arkansas,4:18.40,John McDonnell Invitational,Apr 18,2024
91,Nelson,Ella,JR-3,Oregon,4:18.43,2024 Bryan Clay Invitational,Apr 11,2024
92,Kirarei,Mercy,FR-1,New Mexico,4:18.47@,New Mexico Spring Invitational,Mar 23,2024
93,Lavier,Lilly,SR-4,Oklahoma State,4:18.59,John McDonnell Invitational,Apr 18,2024
94,Hassman,Abigail,SR-4,Northeastern,4:18.60,Penn Relays,Apr 25,2024
95,Carter,Kiara,SR-4,Lipscomb,4:18.72,Raleigh Relays,Mar 28,2024
96,McConnell,Cameron,SO-2,Oklahoma State,4:18.73,John McDonnell Invitational,Apr 18,2024
97,Henriksen,Vilde,JR-3,Toledo,4:18.75,Bison Outdoor Classic,Apr 12,2024
98,Trois,Lou,SR-4,Toledo,4:18.79,Virginia High Performance,Apr 28,2024
99,Moss,Stephanie,JR-3,Oklahoma State,4:18.90,John McDonnell Invitational,Apr 18,2024
100,Boone,Grace,SR-4,Oklahoma State,4:18.93,John McDonnell Invitational,Apr 18,2024
